title,season,episode_num_in_season
The PTA Disbands,6,21
Round Springfield,6,22
The Springfield Connection,6,23
Lemon of Troy,6,24
Who Shot Mr. Burns? - Part I,6,25
Who Shot Mr. Burns? - Part II,7,1
Radioactive Man,7,2
Home Sweet Homediddly-Dum-Doodily,7,3
Bart Sells His Soul,7,4
Lisa the Vegetarian,7,5
Treehouse of Horror VI,7,6
King-Size Homer,7,7
Mother Simpson,7,8
Sideshow Bob's Last Gleaming,7,9
The Simpsons 138th Episode Spectacular,7,10
Marge Be Not Proud,7,11
Team Homer,7,12
Two Bad Neighbors,7,13
Scenes from the Class Struggle in Springfield,7,14
Bart the Fink,7,15
Lisa the Iconoclast,7,16
Homer the Smithers,7,17
The Day the Violence Died,7,18
A Fish Called Selma,7,19
Bart on the Road,7,20
22 Short Films About Springfield,7,21
Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',7,22
Much Apu About Nothing,7,23
Homerpalooza,7,24
Summer of 4 Ft. 2,7,25
Treehouse of Horror VII,8,1
You Only Move Twice,8,2
The Homer They Fall,8,3
"Burns, Baby Burns",8,4
Bart After Dark,8,5
A Milhouse Divided,8,6
Lisa's Date with Density,8,7
Hurricane Neddy,8,8
El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),8,9
The Springfield Files,8,10
The Twisted World of Marge Simpson,8,11
Mountain of Madness,8,12
Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,8,13
The Itchy & Scratchy & Poochie Show,8,14
Homer's Phobia,8,15
Brother from Another Series,8,16
"My Sister, My Sitter",8,17
Homer vs. the Eighteenth Amendment,8,18
Grade School Confidential,8,19
The Canine Mutiny,8,20
The Old Man and the Lisa,8,21
In Marge We Trust,8,22
Homer's Enemy,8,23
The Simpsons Spin-Off Showcase,8,24
The Secret War of Lisa Simpson,8,25
The City of New York vs. Homer Simpson,9,1
The Principal and the Pauper,9,2
Lisa's Sax,9,3
Treehouse of Horror VIII,9,4
The Cartridge Family,9,5
Bart Star,9,6
The Two Mrs. Nahasapeemapetilons,9,7
Lisa the Skeptic,9,8
Realty Bites,9,9
Miracle on Evergreen Terrace,9,10
"All Singing, All Dancing",9,11
Bart Carny,9,12
The Joy of Sect,9,13
Das Bus,9,14
The Last Temptation of Krust,9,15
Dumbbell Indemnity,9,16
Lisa the Simpson,9,17
This Little Wiggy,9,18
Simpson Tide,9,19
The Trouble with Trillions,9,20
Girly Edition,9,21
Trash of the Titans,9,22
King of the Hill,9,23
Lost Our Lisa,9,24
Natural Born Kissers,9,25
Lard of the Dance,10,1
The Wizard of Evergreen Terrace,10,2
Bart the Mother,10,3
Treehouse of Horror IX,10,4
When You Dish Upon a Star,10,5
D'oh-in' in the Wind,10,6
Lisa Gets an 'A',10,7
Homer Simpson in: 'Kidney Trouble',10,8
Mayored to the Mob,10,9
Viva Ned Flanders,10,10
Wild Barts Can't Be Broken,10,11
"Sunday, Cruddy Sunday",10,12
Homer to the Max,10,13
I'm with Cupid,10,14
Marge Simpson in: 'Screaming Yellow Honkers',10,15
Make Room for Lisa,10,16
Maximum Homerdrive,10,17
Simpsons Bible Stories,10,18
Mom and Pop Art,10,19
The Old Man and the 'C' Student,10,20
Monty Can't Buy Me Love,10,21
They Saved Lisa's Brain,10,22
Thirty Minutes over Tokyo,10,23
Beyond Blunderdome,11,1
Brother's Little Helper,11,2
Guess Who's Coming to Criticize Dinner?,11,3
Treehouse of Horror X,11,4
E-I-E-I-(Annoyed Grunt),11,5
"Hello Gutter, Hello Fadder",11,6
Eight Misbehavin',11,7
"Take My Wife, Sleaze",11,8
Grift of the Magi,11,9
Little Big Mom,11,10
Faith Off,11,11
The Mansion Family,11,12
Saddlesore Galactica,11,13
"Alone Again, Natura-Diddily",11,14
Missionary: Impossible,11,15
Pygmoelian,11,16
Bart to the Future,11,17
Days of Wine and D'oh'ses,11,18
Kill the Alligator and Run,11,19
Last Tap Dance in Springfield,11,20
"It's a Mad, Mad, Mad, Mad Marge",11,21
Behind the Laughter,11,22
Treehouse of Horror XI,12,1
A Tale of Two Springfields,12,2
Insane Clown Poppy,12,3
Lisa the Tree Hugger,12,4
Homer vs. Dignity,12,5
The Computer Wore Menace Shoes,12,6
The Great Money Caper,12,7
Skinner's Sense of Snow,12,8
HOMR,12,9
Pokey Mom,12,10
Worst Episode Ever,12,11
Tennis the Menace,12,12
Day of the Jackanapes,12,13
New Kids on the Blecch,12,14
"Hungry, Hungry Homer",12,15
Bye Bye Nerdie,12,16
Simpson Safari,12,17
Trilogy of Error,12,18
I'm Goin' to Praiseland,12,19
Children of a Lesser Clod,12,20
Simpsons Tall Tales,12,21
Treehouse of Horror XII,13,1
The Parent Rap,13,2
Homer the Moe,13,3
A Hunka Hunka Burns in Love,13,4
The Blunder Years,13,5
She of Little Faith,13,6
Brawl in the Family,13,7
Sweets and Sour Marge,13,8
Jaws Wired Shut,13,9
Half-Decent Proposal,13,10
The Bart Wants What It Wants,13,11
The Lastest Gun in the West,13,12
The Old Man and the Key,13,13
Tales from the Public Domain,13,14
Blame It on Lisa,13,15
Weekend at Burnsie's,13,16
Gump Roast,13,17
I Am Furious (Yellow),13,18
The Sweetest Apu,13,19
Little Girl in the Big Ten,13,20
The Frying Game,13,21
Poppa's Got a Brand New Badge,13,22
Treehouse of Horror XIII,14,1
How I Spent My Strummer Vacation,14,2
Bart vs. Lisa vs. the Third Grade,14,3
Large Marge,14,4
Helter Shelter,14,5
The Great Louse Detective,14,6
Special Edna,14,7
The Dad Who Knew Too Little,14,8
The Strong Arms of the Ma,14,9
Pray Anything,14,10
Barting Over,14,11
I'm Spelling as Fast as I Can,14,12
A Star Is Born Again,14,13
Mr. Spritz Goes to Washington,14,14
C.E.D'oh,14,15
Scuse Me While I Miss the Sky,14,16
Three Gays of the Condo,14,17
"Dude, Where's My Ranch?",14,18
Old Yeller-Belly,14,19
"Brake My Wife, Please",14,20
The Bart of War,14,21
Moe Baby Blues,14,22
Treehouse of Horror XIV,15,1
My Mother the Carjacker,15,2
The President Wore Pearls,15,3
The Regina Monologues,15,4
The Fat and the Furriest,15,5
Today I Am a Clown,15,6
Tis the Fifteenth Season,15,7
"Marge vs. Singles, Seniors, Childless Couples and Teens, and Gays",15,8
"I, (Annoyed Grunt)-bot",15,9
Diatribe of a Mad Housewife,15,10
Margical History Tour,15,11
Milhouse Doesn't Live Here Anymore,15,12
Smart & Smarter,15,13
The Ziff Who Came to Dinner,15,14
Co-Dependents' Day,15,15
The Wandering Juvie,15,16
My Big Fat Geek Wedding,15,17
Catch 'Em If You Can,15,18
Simple Simpson,15,19
The Way We Weren't,15,20
Bart-Mangled Banner,15,21
Fraudcast News,15,22
Treehouse of Horror XV,16,1
All's Fair in Oven War,16,2
Sleeping with the Enemy,16,3
She Used to Be My Girl,16,4
Fat Man and Little Boy,16,5
Midnight Rx,16,6
Mommie Beerest,16,7
Homer and Ned's Hail Mary Pass,16,8
Pranksta Rap,16,9
There's Something About Marrying,16,10
On a Clear Day I Can't See My Sister,16,11
Goo Goo Gai Pan,16,12
Mobile Homer,16,13
The Seven-Beer Snitch,16,14
Future-Drama,16,15
Don't Fear the Roofer,16,16
The Heartbroke Kid,16,17
A Star Is Torn,16,18
"Thank God, It's Doomsday",16,19
Home Away from Homer,16,20
"The Father, the Son, and the Holy Guest Star",16,21
The Bonfire of the Manatees,17,1
The Girl Who Slept Too Little,17,2
Milhouse of Sand and Fog,17,3
Treehouse of Horror XVI,17,4
Marge's Son Poisoning,17,5
See Homer Run,17,6
The Last of the Red Hat Mamas,17,7
The Italian Bob,17,8
Simpsons Christmas Stories,17,9
Homer's Paternity Coot,17,10
We're on the Road to D'ohwhere,17,11
My Fair Laddy,17,12
The Seemingly Never-Ending Story,17,13
Bart Has Two Mommies,17,14
"Homer Simpson, This Is Your Wife",17,15
Million Dollar Abie,17,16
"Kiss Kiss, Bang Bangalore",17,17
The Wettest Stories Ever Told,17,18
Girls Just Want to Have Sums,17,19
Regarding Margie,17,20
The Monkey Suit,17,21
Marge and Homer Turn a Couple Play,17,22
"The Mook, the Chef, the Wife and Her Homer",18,1
Jazzy and the Pussycats,18,2
"Please Homer, Don't Hammer 'Em",18,3
Treehouse of Horror XVII,18,4
G.I. (Annoyed Grunt),18,5
Moe'N'a Lisa,18,6
Ice Cream of Margie (with the Light Blue Hair),18,7
The Haw-Hawed Couple,18,8
"Kill Gil, Volumes I & II",18,9
The Wife Aquatic,18,10
Revenge Is a Dish Best Served Three Times,18,11
Little Big Girl,18,12
Springfield Up,18,13
Yokel Chords,18,14
Rome-Old and Juli-Eh,18,15
Homerazzi,18,16
Marge Gamer,18,17
The Boys of Bummer,18,18
Crook and Ladder,18,19
Stop Or My Dog Will Shoot!,18,20
24 Minutes,18,21
You Kent Always Say What You Want,18,22
He Loves to Fly and He D'ohs,19,1
The Homer of Seville,19,2
Midnight Towboy,19,3
I Don't Wanna Know Why the Caged Bird Sings,19,4
Treehouse of Horror XVIII,19,5
Little Orphan Millie,19,6
Husbands and Knives,19,7
Funeral for a Fiend,19,8
Eternal Moonshine of the Simpson Mind,19,9
E Pluribus Wiggum,19,10
That '90s Show,19,11
"Love, Springfieldian Style",19,12
The Debarted,19,13
Dial 'N' for Nerder,19,14
Smoke on the Daughter,19,15
Papa Don't Leech,19,16
Apocalypse Cow,19,17
Any Given Sundance,19,18
Mona Leaves-a,19,19
All About Lisa,19,20
"Sex, Pies and Idiot Scrapes",20,1
Lost Verizon,20,2
"Double, Double, Boy in Trouble",20,3
Treehouse of Horror XIX,20,4
Dangerous Curves,20,5
Homer and Lisa Exchange Cross Words,20,6
MyPods and Boomsticks,20,7
The Burns and the Bees,20,8
Lisa the Drama Queen,20,9
"Take My Life, Please",20,10
How the Test Was Won,20,11
"No Loan Again, Naturally",20,12
Gone Maggie Gone,20,13
In the Name of the Grandfather,20,14
Wedding for Disaster,20,15
Eeny Teeny Maya Moe,20,16
"The Good, the Sad and the Drugly",20,17
Father Knows Worst,20,18
"Waverly Hills, 9-0-2-1-D'oh",20,19
Four Great Women and a Manicure,20,20
Coming to Homerica,20,21
Homer the Whopper,21,1
Bart Gets a 'Z',21,2
The Great Wife Hope,21,3
Treehouse of Horror XX,21,4
The Devil Wears Nada,21,5
Pranks and Greens,21,6
Rednecks and Broomsticks,21,7
"O Brother, Where Bart Thou?",21,8
Thursdays with Abie,21,9
Once Upon a Time in Springfield,21,10
Million Dollar Maybe,21,11
Boy Meets Curl,21,12
The Color Yellow,21,13
Postcards from the Wedge,21,14
Stealing First Base,21,15
The Greatest Story Ever D'ohed,21,16
American History X-cellent,21,17
Chief of Hearts,21,18
The Squirt and the Whale,21,19
To Surveil with Love,21,20
Moe Letter Blues,21,21
The Bob Next Door,21,22
Judge Me Tender,21,23
Elementary School Musical,22,1
Loan-a Lisa,22,2
MoneyBart,22,3
Treehouse of Horror XXI,22,4
"Lisa Simpson, This Isn't Your Life",22,5
The Fool Monty,22,6
How Munched Is That Birdie in the Window?,22,7
The Fight Before Christmas,22,8
Donnie Fatso,22,9
Moms I'd Like to Forget,22,10
Flaming Moe,22,11
Homer the Father,22,12
The Blue and the Gray,22,13
Angry Dad: The Movie,22,14
The Scorpion's Tale,22,15
A Midsummer's Nice Dream,22,16
Love Is a Many Strangled Thing,22,17
The Great Simpsina,22,18
The Real Housewives of Fat Tony,22,19
Homer Scissorhands,22,20
500 Keys,22,21
The Ned-Liest Catch,22,22
The Falcon and the D'ohman,23,1
Bart Stops to Smell the Roosevelts,23,2
Treehouse of Horror XXII,23,3
Replaceable You,23,4
The Food Wife,23,5
The Book Job,23,6
The Man in the Blue Flannel Pants,23,7
The Ten-Per-Cent Solution,23,8
Holidays of Future Passed,23,9
"Politically Inept, with Homer Simpson",23,10
The D'oh-cial Network,23,11
Moe Goes from Rags to Riches,23,12
The Daughter Also Rises,23,13
At Long Last Leave,23,14
Exit Through the Kwik-E-Mart,23,15
How I Wet Your Mother,23,16
"Them, Robot",23,17
Beware My Cheating Bart,23,18
A Totally Fun Thing That Bart Will Never Do Again,23,19
The Spy Who Learned Me,23,20
Ned 'n' Edna's Blend Agenda,23,21
Lisa Goes Gaga,23,22
Moonshine River,24,1
Treehouse of Horror XXIII,24,2
Adventures in Baby-Getting,24,3
Gone Abie Gone,24,4
Penny-Wiseguys,24,5
A Tree Grows in Springfield,24,6
The Day the Earth Stood Cool,24,7
To Cur with Love,24,8
Homer Goes to Prep School,24,9
A Test Before Trying,24,10
The Changing of the Guardian,24,11
Love Is a Many-Splintered Thing,24,12
Hardly Kirk-ing,24,13
Gorgeous Grampa,24,14
"Black Eyed, Please",24,15
Dark Knight Court,24,16
What Animated Women Want,24,17
Pulpit Friction,24,18
Whiskey Business,24,19
The Fabulous Faker Boy,24,20
The Saga of Carl,24,21
Dangers on a Train,24,22
Homerland,25,1
Treehouse of Horror XXIV,25,2
Four Regrettings and a Funeral,25,3
YOLO,25,4
Labor Pains,25,5
The Kid Is All Right,25,6
Yellow Subterfuge,25,7
White Christmas Blues,25,8
Steal This Episode,25,9
Married to the Blob,25,10
Specs and the City,25,11
Diggs,25,12
The Man Who Grew Too Much,25,13
The Winter of His Content,25,14
The War of Art,25,15
You Don't Have to Live Like a Referee,25,16
Luca$,25,17
Days of Future Future,25,18
What to Expect When Bart's Expecting,25,19
Brick Like Me,25,20
Pay Pal,25,21
The Yellow Badge of Cowardge,25,22
Clown in the Dumps,26,1
The Wreck of the Relationship,26,2
Super Franchise Me,26,3
Treehouse of Horror XXV,26,4
Opposites A-Frack,26,5
Simpsorama,26,6
Blazed and Confused,26,7
Covercraft,26,8
I Won't Be Home for Christmas,26,9
The Man Who Came to Be Dinner,26,10
Bart's New Friend,26,11
The Musk Who Fell to Earth,26,12
Walking Big & Tall,26,13
My Fare Lady,26,14
The Princess Guide,26,15
Sky Police,26,16
Waiting for Duffman,26,17
Peeping Mom,26,18
The Kids Are All Fight,26,19
Let's Go Fly a Coot,26,20
Bull-E,26,21
Mathlete's Feat,26,22
Every Man's Dream,27,1
Cue Detective,27,2
Puffless,27,3
Halloween of Horror,27,4
Treehouse of Horror XXVI,27,5
Friend with Benefit,27,6
Lisa with an 'S',27,7
Paths of Glory,27,8
Barthood,27,9
The Girl Code,27,10
Teenage Mutant Milk-Caused Hurdles,27,11
Much Apu About Something,27,12
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,27,13
Gal of Constant Sorrow,27,14
Lisa the Veterinarian,27,15
The Marge-ian Chronicles,27,16
The Burns Cage,27,17
How Lisa Got Her Marge Back,27,18
Fland Canyon,27,19
To Courier with Love,27,20
Simprovised,27,21
Orange Is the New Yellow,27,22
Monty Burns' Fleeing Circus,28,1
Friends and Family,28,2
The Town,28,3
Treehouse of Horror XXVII,28,4
Trust but Clarify,28,5
There Will Be Buds,28,6
Havana Wild Weekend,28,7
Dad Behavior,28,8
The Last Traction Hero,28,9
The Nightmare After Krustmas,28,10
Pork and Burns,28,11
"The Great Phatsby"" (Vol. I & Vol. II) ",28,12
Fatzcarraldo,28,14
The Cad and the Hat,28,15
Kamp Krustier,28,16
22 for 30,28,17
A Father's Watch,28,18
The Caper Chase,28,19
Looking for Mr. Goodbart,28,20
Moho House,28,21
Dogtown,28,22
The Serfsons,29,1
Springfield Splendor,29,2
Whistler's Father,29,3
Treehouse of Horror XXVIII,29,4
Grampy Can Ya Hear Me,29,5
The Old Blue Mayor She Ain't What She Used to Be,29,6
Singin' in the Lane,29,7
Mr. Lisa's Opus,29,8
Gone Boy,29,9
Haw-Haw Land,29,10
Frink Gets Testy,29,11
Homer Is Where the Art Isn't,29,12
3 Scenes Plus a Tag from a Marriage,29,13
Fears of a Clown,29,14
No Good Read Goes Unpunished,29,15
King Leer,29,16
Lisa Gets the Blues,29,17
Forgive and Regret,29,18
Left Behind,29,19
Throw Grampa from the Dane,29,20
Flanders' Ladder,29,21
Bart's Not Dead,30,1
Heartbreak Hotel,30,2
My Way or the Highway to Heaven,30,3
Treehouse of Horror XXIX,30,4
Baby You Can't Drive My Car,30,5
From Russia Without Love,30,6
Werking Mom,30,7
Krusty the Clown,30,8
Daddicus Finch,30,9
Tis the 30th Season,30,10
Mad About the Toy,30,11
The Girl on the Bus,30,12
I'm Dancing as Fat as I Can,30,13
The Clown Stays in the Picture,30,14
101 Mitigations,30,15
I Want You (She's So Heavy),30,16
E My Sports,30,17
Bart vs. Itchy & Scratchy,30,18
Girl's in the Band,30,19
I'm Just a Girl Who Can't Say D'oh,30,20
D'oh Canada,30,21
Woo-Hoo Dunnit?,30,22
Crystal Blue-Haired Persuasion,30,23
The Winter of Our Monetized Content,31,1
Go Big or Go Homer,31,2
The Fat Blue Line,31,3
Treehouse of Horror XXX,31,4
Gorillas on the Mast,31,5
Marge the Lumberjill,31,6
Livin La Pura Vida,31,7
Thanksgiving of Horror,31,8
"Todd, Todd, Why Hast Thou Forsaken Me?",31,9
"Bobby, It's Cold Outside",31,10
Hail to the Teeth,31,11
The Miseducation of Lisa Simpson,31,12
Frinkcoin,31,13
Bart the Bad Guy,31,14
Screenless,31,15
Better Off Ned,31,16
Highway to Well,31,17
The Incredible Lightness of Being a Baby,31,18
"Warrin' Priests"" (Parts One and Two) ",31,19
The Hateful Eight-Year-Olds,31,21
The Way of the Dog,31,22
Undercover Burns,32,1
"I, Carumbus",32,2
"Now Museum, Now You Don't",32,3
Treehouse of Horror XXXI,32,4
The 7 Beer Itch,32,5
Podcast News,32,6
Three Dreams Denied,32,7
The Road to Cincinnati,32,8
Sorry Not Sorry,32,9
A Springfield Summer Christmas for Christmas,32,10
The Dad-Feelings Limited,32,11
Diary Queen,32,12
Wad Goals,32,13
Yokel Hero,32,14
Do Pizza Bots Dream of Electric Guitars,32,15
Manger Things,32,16
Uncut Femmes,32,17
Burger Kings,32,18
Panic on the Streets of Springfield,32,19
Mother and Child Reunion,32,20
The Man from G.R.A.M.P.A.,32,21
The Last Barfighter,32,22
The Star of the Backstage,33,1
Bart's in Jail!,33,2
Treehouse of Horror XXXII,33,3
The Wayz We Were,33,4
Lisa's Belly,33,5
"A Serious Flanders"" (Parts 1 & 2) ",33,6
Portrait of a Lackey on Fire,33,8
Mothers and Other Strangers,33,9
A Made Maggie,33,10
The Longest Marge,33,11
Pixelated and Afraid,33,12
Boyz N the Highlands,33,13
You Won't Believe What This Episode Is About – Act Three Will Shock You!,33,14
Bart the Cool Kid,33,15
Pretty Whittle Liar,33,16
The Sound of Bleeding Gums,33,17
My Octopus and a Teacher,33,18
Girls Just Shauna Have Fun,33,19
Marge the Meanie,33,20
Meat Is Murder,33,21
Poorhouse Rock,33,22
Habeas Tortoise,34,1
One Angry Lisa,34,2
Lisa the Boy Scout,34,3
The King of Nice,34,4
Not It,34,5
Treehouse of Horror XXXIII,34,6
From Beer to Paternity,34,7
Step Brother from the Same Planet,34,8
When Nelson Met Lisa,34,9
Game Done Changed,34,10
Top Goon,34,11
My Life as a Vlog,34,12
The Many Saints of Springfield,34,13
Carl Carlson Rides Again,34,14
Bartless,34,15
Hostile Kirk Place,34,16
Pin Gal,34,17
Fan-ily Feud,34,18
Write Off This Episode,34,19
The Very Hungry Caterpillars,34,20
Clown V. Board of Education,34,21
Homer's Adventures Through the Windshield Glass,34,22
